class,n,n_zero_dropped,n_unique,gamma_params,gamma_ks,gamma_p,lognorm_params,lognorm_ks,lognorm_p,weibull_params,weibull_ks,weibull_p,loglogistic_params,loglogistic_ks,loglogistic_p,pareto_params,pareto_ks,pareto_p,seed,class_
ag,1000,8,992,"(1.002626940785446, 0, np.float64(0.0013183524225358735))",0.03647716328978007,0.13923668057276717,"(np.float64(1.1935526276911543), 0, np.float64(0.0007434007562230808))",0.05187472435917173,0.009256963879471074,"(np.float64(0.9766451566794039), 0, np.float64(0.0013073870451402142))",0.028058080654399076,0.40814452714386795,"(np.float64(1.4772761637736045), 0, np.float64(0.0007962060636064262))",0.04060021138687042,0.07391597859080024,"(np.float64(1.4772761637736045), 0, np.float64(0.0007962060636064262))",0.35836000425442927,1.480811433227974e-114,12,ag
nag,1000,203,797,"(0.9275269160476364, 0, np.float64(1.7272343230736475e-06))",0.028508214413350497,0.5269180275197333,"(np.float64(1.3258906219502034), 0, np.float64(8.549912479343428e-07))",0.07849978774064081,0.00010178974050981528,"(np.float64(0.9522419749197418), 0, np.float64(1.5673179530211572e-06))",0.02779608232710154,0.5596092776800528,"(np.float64(1.3585848074208922), 0, np.float64(9.52467588423302e-07))",0.05189302136198748,0.0263758189870974,"(np.float64(1.3585848074208922), 0, np.float64(9.52467588423302e-07))",0.41556164748870206,3.9172740951140927e-125,12,nag
bg,1000,0,1000,"(11.28902702168172, 0, np.float64(3.0960026080738e-08))",0.0242090562547147,0.5923612762956658,"(np.float64(0.3068025618722481), 0, np.float64(3.3414796639274153e-07))",0.04393603420007042,0.04085544166439847,"(np.float64(3.644087081398178), 0, np.float64(3.8710859052599867e-07))",0.0457571421943781,0.02942743359392952,"(np.float64(0.10855804078674601), 0, np.float64(3.3462328274949626e-07))",0.47893331931693806,2.113734285371666e-211,"(np.float64(0.10855804078674601), 0, np.float64(3.3462328274949626e-07))",0.3696942566602459,4.0543549425429426e-123,12,bg
ag,1000,8,992,"(1.052736459985208, 0, np.float64(0.0012209650547514279))",0.041682173709494896,0.06189908503103503,"(np.float64(1.1464265570102836), 0, np.float64(0.0007452630340846635))",0.046088824654319516,0.028638100522026644,"(np.float64(0.9998724004340559), 0, np.float64(0.0012851993619631932))",0.034786373305767615,0.17698866443165062,"(np.float64(1.5453800024800572), 0, np.float64(0.0007894697736782923))",0.03163132288125314,0.26835662945134064,"(np.float64(1.5453800024800572), 0, np.float64(0.0007894697736782923))",0.37755304021314384,1.4902368823376316e-127,13,ag
nag,1000,218,782,"(0.9284695056020137, 0, np.float64(1.7596349303698425e-06))",0.027051709538793434,0.6064182985941589,"(np.float64(1.3842265727746517), 0, np.float64(8.725389105737936e-07))",0.08995948845686236,5.8843367017323716e-06,"(np.float64(0.9633765772992459), 0, np.float64(1.6077649489040844e-06))",0.027525602895047685,0.584289763623933,"(np.float64(1.3543193196052572), 0, np.float64(1.008078472806563e-06))",0.056150972452567616,0.013876466807013491,"(np.float64(1.3543193196052572), 0, np.float64(1.008078472806563e-06))",0.42357232525796906,8.989936735774081e-128,13,nag
bg,1000,0,1000,"(10.853482579896315, 0, np.float64(3.194049104149266e-08))",0.01905570914991994,0.8538414837706703,"(np.float64(0.31085036729157345), 0, np.float64(3.3082367532331077e-07))",0.03499571736103313,0.16858617214234806,"(np.float64(3.4929714081664502), 0, np.float64(3.8477385744692554e-07))",0.040298466544754996,0.075610065519637,"(np.float64(0.10855804070704325), 0, np.float64(3.3036198554473515e-07))",0.4768817699759018,1.7448272301105504e-209,"(np.float64(0.10855804070704325), 0, np.float64(3.3036198554473515e-07))",0.39954549790973487,1.4565242988556707e-144,13,bg
ag,1000,8,992,"(1.0863449982604705, 0, np.float64(0.0011809059054684358))",0.0471546749705517,0.02349305552722979,"(np.float64(1.1224090450001476), 0, np.float64(0.0007578875440577041))",0.05501170497665514,0.004746204244100384,"(np.float64(1.0142752439911271), 0, np.float64(0.0012910807107014684))",0.0434708248527903,0.04569420385839229,"(np.float64(1.5909571706990593), 0, np.float64(0.0008054099797649319))",0.031034038132665087,0.28898637681081196,"(np.float64(1.5909571706990593), 0, np.float64(0.0008054099797649319))",0.3818020310157941,1.5510090429495897e-130,14,ag
nag,1000,214,786,"(0.9253750801768832, 0, np.float64(1.8858781341559584e-06))",0.018232328669771425,0.9520649204801397,"(np.float64(1.3527760066547896), 0, np.float64(9.298297541283513e-07))",0.07986329634556966,8.288507685928507e-05,"(np.float64(0.9564828882402838), 0, np.float64(1.7111953807833145e-06))",0.019664760424542127,0.9154950761676102,"(np.float64(1.3488508161245045), 0, np.float64(1.0541917028246173e-06))",0.055458140661402644,0.015288601805403026,"(np.float64(1.3488508161245045), 0, np.float64(1.0541917028246173e-06))",0.4319037408902974,9.332554338518922e-134,14,nag
bg,1000,0,1000,"(10.145051410049588, 0, np.float64(3.457423716377233e-08))",0.012950500390043973,0.995375788038511,"(np.float64(0.32210096002045474), 0, np.float64(3.3361940970190134e-07))",0.02778590873844783,0.4153492498671255,"(np.float64(3.378204320446211), 0, np.float64(3.9018073953805613e-07))",0.050639117612831464,0.011435171545720687,"(np.float64(0.10855804053938606), 0, np.float64(3.3192699188800713e-07))",0.4779147647397153,1.8965679000246298e-210,"(np.float64(0.10855804053938606), 0, np.float64(3.3192699188800713e-07))",0.42850820597496314,3.006438900013753e-167,14,bg
ag,1000,7,993,"(0.9760580173335, 0, np.float64(0.001283040934446595))",0.04248680975226282,0.05388884291185059,"(np.float64(1.2099105357258173), 0, np.float64(0.0006920688033970109))",0.05515816511888849,0.004568155004065494,"(np.float64(0.9548773566386219), 0, np.float64(0.0012245887457235569))",0.03887571564389769,0.09683835430285881,"(np.float64(1.4847495310700747), 0, np.float64(0.000741876235411573))",0.028881811852589756,0.37185906392332124,"(np.float64(1.4847495310700747), 0, np.float64(0.000741876235411573))",0.38843495176420806,2.0962800408645612e-135,15,ag
nag,1000,243,757,"(0.9221190061502055, 0, np.float64(1.7518403237266934e-06))",0.027297492079399688,0.6153678916587353,"(np.float64(1.3474564338633677), 0, np.float64(8.585575980554061e-07))",0.06671556088960229,0.0022544560206221474,"(np.float64(0.9523541907918605), 0, np.float64(1.5806984739868557e-06))",0.028610380911973543,0.5553288172374755,"(np.float64(1.3486301895781554), 0, np.float64(9.606190348119365e-07))",0.05620607125720356,0.01609537173572964,"(np.float64(1.3486301895781554), 0, np.float64(9.606190348119365e-07))",0.4422216477967746,2.2737542421140777e-135,15,nag
bg,1000,0,1000,"(10.196753039714926, 0, np.float64(3.4606890216370257e-08))",0.021324408652263704,0.7450022817226847,"(np.float64(0.32319001281573867), 0, np.float64(3.357229303056031e-07))",0.0331592168875659,0.21667648644761972,"(np.float64(3.393699683506407), 0, np.float64(3.9217047676387377e-07))",0.06269065306479549,0.0007361632857890908,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.4769466314240933,1.518150903070225e-209,"(np.float64(0.10855804067425058), 0, np.float64(3.349749660447638e-07))",0.4163744594149699,1.6292158741064292e-157,15,bg
ag,1000,4,996,"(1.0774982629763044, 0, np.float64(0.0011551469351579202))",0.03405006401739774,0.19396337505307248,"(np.float64(1.1471788439965518), 0, np.float64(0.0007317918947883386))",0.05597559032553534,0.0037401556493569664,"(np.float64(1.024014375487701), 0, np.float64(0.0012575363778502477))",0.0348399422538912,0.17398500586533017,"(np.float64(1.5471105299019712), 0, np.float64(0.0007840472753691929))",0.033645441756891215,0.20486578022518553,"(np.float64(1.5471105299019712), 0, np.float64(0.0007840472753691929))",0.3539256890406994,4.1268241363007567e-112,16,ag
